topic,answer_type,problem,expected_answer
Science and technology,Number,"According to ""Astronomical Phenomena During 1898"" by H.C. Wilson, how many eclipses (both solar and lunar) were predicted to occur that year?",6
Art,Person,What is the name of Wassily Kandinsky's only son?,Vsevolod
Politics,Place,Which district court in Norway was politician Nikolai Christian Grove Prebensen a deputy judge from 1878 to 1881?,Romsdal District Court
Other,Person,Who was the 2014 recipient of the Penny Crane Award for Distinguished Service?,Cynthia Dooling
TV shows,Other,What was Janice Burgess put in charge of when she volunteered at the public television station WQED?,Craft services
Politics,Date,"On what day, month, and year was the death of Doski Azad, the transgender woman from Iraqi Kurdistan, discovered?","January 31, 2022."
Science and technology,Date,"What were the month and year when The Economist reported that researchers at the University of California, Berkeley conducted ultrasound studies using graphene diaphragms?",Jul-15
Other,Date,"What day, month, and year was the New Zealand actress Ria Vandervis born?",05-Jul-84
,,"How many acres was Rachel Lambert Mellon's Virginia estate, Oak Spring Farm?","4,000"
Geography,Number,What is the forest cover area of Karnataka in square kilometers according to the India State of Forest Report 2019?,"38,575.48"
Art,Person,What is the name of the person who discovered the minor planet named after Viktor Vasnetsov?,Lyudmila Zhuravlyova
TV shows,Other,Which other award did Fleabag win in 2016 apart from Best Original Programme?,Best Multichannel Programme
,,"On what day, month, and year did the 1st ASEM Transport Ministers' Meeting begin?",19-Oct-09
Art,Other,What is the full title of Zanele Muholi's publication from 2011?,Zanele Muholi: African Women Photographers #1
Art,Person,"Which angel is portrayed in Leonardo da Vinci's ""Virgin of the Rocks""?",The angel Uriel.
Art,Place,What city hosted Kara Walker's 2017 solo exhibition?,New York
Science and technology,Other,"How many hours, minutes, and seconds in the solar day on Mars are equivalent to 24 hours on Earth?","24 hours, 39 minutes and 35 seconds"
Science and technology,Person,What is the name of the botanist who first formally described *Dendrobium pugioniforme* in 1839?,Allan Cunningham
Sports,Person,"What is the name of the individual known as ""The Horse"" who won eight running events over three Olympics between 81 and 89 CE?",Hermogenes
Sports,Number,How many innings did Javier López pitch in the '07 World Series?,zero
Science and technology,Date,"What were the date, month, and year when the aging mainframe-based Ground Segment Control System was transferred to the new Architecture Evolution Plan?","September 14, 2007."
,,"What year was the bronze loincloth added to Michelangelo's ""Risen Christ"" sculpture to cover the genitals?",1546
Music,Date,"What month, day, and year did Ciara perform at the Joy Theater in New Orleans for her Jackie Tour?","May 19, 2015"
TV shows,Other,What role did Darsheel Safary play in the series Yeh Hai Aashiqui in 2016?,Abhay
Geography,Date,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1880
Sports,Date,What year did PayPal become a jersey patch sponsor of the Phoenix Suns for the first time?,2018
Geography,Date,"In which year was the municipality of Samacá, Boyacá, Colombia, founded?",1556
Music,Other,"At which festival did Robert Amirkhanyan win ""Best Song"" in 1973?",Berlin City World Youth Festival
Sports,Person,Who was the first president of the Pakistan Cycling Federation?,Muhammad Ali Jinnah
Science and technology,Person,What is the surname of the individual who was awarded the Francis P. Garvan–John M. Olin Medal in 1951?,Blodgett
Geography,Date,"What year was the municipality of Ciénega, Boyacá, Colombia, founded?",1818
Music,Date,"On what day, month, and year was Michiya Haruhata born?","November 5, 1966."
Science and technology,Date,"On which day, month, and year was the NVS-01 satellite launched from the Satish Dhawan Space Centre in India?","May 29, 2023"
Politics,Person,Which ruling Congress nominee did Bakshi Ghulam Mohammad defeat in the 1967 Lok Sabha election on a National Conference ticket?, Ali Mohammed Tariq
History,Date,"What were the month, day, and year John Stanhope was raised to the peerage as Baron Stanhope of Harrington?","May 2, 1605"
Art,Date,In what year was the Society of Illustrators Welfare Fund established?,1946
Sports,Person,Who was the coach of Eintracht Frankfurt in 1970?,Erich Ribbeck
TV shows,Number,"How old is Nadja in ""What We Do in the Shadows"" as of Season 2?",500+ years
Science and technology,Person,"What is the name of the computer scientist who supervised the doctoral thesis of Annamaria Beatrice Amenta at the University of California, Berkeley?", Raimund Seidel
Other,Date,"What month, day, and year was Lori Vallow Daybell sentenced to prison?","July 31, 2023."
Politics,Place,"Following the 2016 Orlando nightclub shooting, which county in which state was the only county in the United States to refuse to lower its flags to half-staff?",Baldwin County in Alabama.
Geography,Place,What is the name of the city where Takashi Masuzaki was born?,Nagasaki
Video games,Date,"What day, month, and year did Terraria version 1.4.2.1 release?",March 31st 2021
Art,Other,What is the unique form of masked dance performed in Jharkhand locally known as?,The chhau.
Politics,Date,"Until what month and year did Gerald Ford serve as the Honorary Grand Master of the International Supreme Council, Order of DeMolay?",Jan-77
Science and technology,Other,"According to Medland, Sarah E.; Loesch, Danuta Z.; Mdzewski, Bogdan; Zhu, Gu; Montgomery, Grant W.; Martin, Nicholas G. (September 28, 2007), what chromosome location was identified as linked to the finger ridge counts of the ring, index, and middle fingers through multivariate linkage analysis?",5q14.1
Science and technology,Date,"What were the day, month, and year when Instagram introduced comment liking?","December 6, 2016"
TV shows,Other,What was the original name of the show that conductor David Randolph hosted on the radio station WNYC?,Music for the Connoisseur
Science and technology,Date,What year was Sir Frederick Charles Frank elected a Fellow of the Royal Society?,1954
Science and technology,Date,In what month and year did Starlink become the largest-ever satellite constellation?,Jan-20
Other,Other,"What was the first line after the salutation in the letter sent to Gosvami Maharaja by A. C. Bhaktivedanta, also known as A. C. Bhaktivedanta Swami Prabhupada, on October 5, 1955?",Kindly accept my humble and respectful dandabats.
Other,Date,"On what day, month, and year did the Winnipeg Free Press cease publishing its regular Sunday edition?","November 1, 2009"
Politics,Other,"What did Edvard Bull Sr., the Norwegian politician, die of in 1932?",Brain Tumor
Art,Place,Name the village in Iran from which Tilla embroidery originated.,Zari.
Science and technology,Person,What is the surname of the individual who won the Green Chemistry Award in 2012?,Tsang
TV shows,Other,"What was Hank Green's character, The Fix, a manifestation of on Dimension 20's Mentopolis?",hyperfixation
Geography,Place,"Where is Sagg Eco Village located in Jammu & Kashmir, India?",Ganderbal
,,"What was the first name of the man who, in 1925, married Mavis Tate, a former British Conservative politician?",Henry
Video games,Date,"What day, month, and year did version 1.06 of the original PS3 release of Dark Souls get released in North America?",October 22 2012
TV shows,Number,"The Jallianwala Bagh is recounted in which episode of Granada TV's 1984 series ""The Jewel in the Crown""?",Seventh
Sports,Other,Which Denver team did Brodie Smith play for in 2014?,Johnny Bravo
TV shows,Person,Who is Orym's father-in-law who was killed during an attack on Zephrah in Critical Role?,Derrig
Music,Date,In what year did conductor David Randolph receive his master's degree from Columbia University?,1942
Politics,Other,What was Sujata Manohar's position just before she was appointed as a judge of the Supreme Court of India?,Chief Justice of Kerala High Court 
Science and technology,Other,"From which database did the authors of ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies"" obtain the 25 languages used in their paper?",ValPaL (Valency Patterns Leipzig) database
Science and technology,Date,In what year was the beetle species Glipa angustilineata described?,1993
Science and technology,Place,Which university awarded Pieter Bleeker a Doctorate Honoris Causa for the second time in 1849 for his work in ichthyology and tropical medicine?,Utrecht University
TV shows,Person,"In the episode ""A Slight Case of Murder: Part 1 & 2"" of the TV series Amen, who played the role of Roxanne Farley?",Jackée Harry
Art,Number,"How many girls are in ""Girls on the Bridge,"" Munch's painting from 1900 (in the version where some of them are looking at the river)?",Three
Science and technology,Person,Which scientist received the Gregori Aminoff Prize in 1982?,Gunnar Hägg
Video games,Date,In which patch was the API function UpdateWorldMapArrow added to World of Warcraft?,Patch 5.2.0
History,Date,"On what day, month, and year was Motonori Matuyama born?",25 October 1884
Politics,Date,What year did Katia Bellillo become Minister for Regional Affairs?,1998
Sports,Number,"At what time to the nearest second did Arnaud Jouffroy end the race, ranking in the first position, in the 2008 UCI Cyclo-cross World Championships – Men's Junior race?",00:40:30
Politics,Date,"In which year was the ""People's Action Committee"" (a political party) established in Kashmir?",1963
Science and technology,Person,Who was awarded the International Prize in Statistics in 2021?,Nan Laird
Art,Date,What year did Marina Abramović have her first performance in Edinburgh?,1973
